plane u v itype x0 y0 irot nvertices vx_0 vy_0 vx_1 vy_1 vx_2 vy_2 vx_3 vy_3 vx_4 vy_4 vx_5 vy_5 vx_6 vy_6 icassette_0 icassette_1 trigRate trigLinks dataRate_ld dataLinks_ld dataRate_hd dataLinks_hd MB wagon isEngine nROCs power mrot phi HDorLD hash hash_hdld dataPp0 trigPp0 dataPp0_type trigPp0_type engineType
1 7 2 FO 1004.64 290.02 0 6 1004.6 193.3 1088.4 241.7 1088.4 338.4 1004.6 386.7 920.9 338.4 920.9 241.7 1004.6 193.3 0 0 2.439 3.0 0.803 1.0 0.766 1.0 7 0 True 3 3.6 0 16.102 0 107020 107020 1000.0 1010.0 A A W
1 7 3 FO 920.92 435.02 0 6 920.9 338.4 1004.6 386.7 1004.6 483.4 920.9 531.7 837.2 483.4 837.2 386.7 920.9 338.4 0 0 2.549 3.0 0.844 1.0 0.802 1.0 10 0 False 3 3.6 0 25.285 0 107030 107030 1000.0 1011.0 A B N
1 7 4 FO 837.2 580.03 4 6 837.2 483.4 920.9 531.7 920.9 628.4 837.2 676.7 753.5 628.4 753.5 531.7 837.2 483.4 0 1 2.513 3.0 0.837 1.0 0.797 1.0 6 1 False 3 3.6 0 34.715 0 107040 107040 1101.0 1111.0 B B E
1 7 5 FO 753.48 725.04 4 6 753.5 628.4 837.2 676.7 837.2 773.4 753.5 821.7 669.8 773.4 669.8 676.7 753.5 628.4 0 1 2.412 3.0 0.813 1.0 0.774 1.0 5 1 False 3 3.6 0 43.898 0 107050 107050 1100.0 1110.0 A A E
1 7 6 FO 669.76 870.05 4 6 669.8 773.4 753.5 821.7 753.5 918.4 669.8 966.7 586.0 918.4 586.0 821.7 669.8 773.4 0 1 2.327 3.0 0.755 1.0 0.718 1.0 4 1 False 3 3.6 0 52.411 0 107060 107060 1100.0 1110.0 A A E
1 7 7 FO 586.045 1015.06 1 6 669.795 966.718 669.729 1063.405 586.071 1111.705 502.305 1063.418 502.371 966.732 586.029 918.432 669.795 966.718 1 0 2.225 3.0 0.668 1.0 0.638 1.0 109 1 False 3 3.6 0 60.0 0 107070 107070 1200.0 1210.0 A A E
1 7 8 FO 502.323 1160.068 1 6 586.071 1111.705 586.005 1208.391 502.347 1256.691 418.582 1208.405 418.647 1111.718 502.305 1063.418 586.071 1111.705 1 0 1.767 2.0 0.59 1.0 0.57 1.0 108 1 False 3 3.6 0 66.587 0 107080 107080 1200.0 1210.0 A A E
1 7 9 FO 418.6 1305.077 1 6 502.347 1256.691 502.282 1353.377 418.537 1401.727 334.858 1353.391 334.837 1256.755 418.582 1208.405 502.347 1256.691 1 0 1.54 2.0 0.59 1.0 0.59 1.0 107 1 False 3 3.6 0 72.216 0 107090 107090 1200.0 1210.0 A A N
1 7 10 aOeB 334.887 1450.081 1 4 418.537 1401.727 251.134 1498.377 251.113 1401.741 334.858 1353.391 418.537 1401.727 0.0 0.0 0.0 0.0 1 0 0.997 2.0 0.144 1.0 0.144 1.0 110 1 False 3 3.6 0 76.996 0 107100 107100 1200.0 1211.0 A B N
1 8 0 FO 1339.53 0.0 0 6 1339.5 -96.7 1423.2 -48.3 1423.2 48.3 1339.5 96.7 1255.8 48.3 1255.8 -48.3 1339.5 -96.7 0 0 1.605 2.0 0.615 1.0 0.615 1.0 9 1 False 3 3.6 0 0.0 0 108000 108000 1000.0 1010.0 A A N
